PartyID,PartyName,LicenseTypeID,LicenseType,Current_Salesmen,Cases_Last45Days,Cases_FY25_26,City,Pincode,Address,Verdict,Notes
D00425,KOHINOOR WINES (BANER),180001,FL II (Wine shop),SM1=SHASHANK Â· SM2=DEEPAK PATIL,0.0,70.0,  5,411 004,"S.No.40, GODREJ HILLSIDE1, MLCP TOWER, SHOP No.2 GROUND FLOOR, MAHALOONGE ROAD BANER PUNE",,
D07534,KOMAL WINES ,180001,FL II (Wine shop),SM1=CROSS SUPPLY Â· SM3=SURESH NAIR,0.0,0.0,PUNE,,NO 942 NORTH SADAR BAZAR SOLAPUR ROAD SOLAPUR,,
D07532,KSHITIJ BEER SHOPEE (BHOSARI),180004,Beer Shopee,SM3=SURESH NAIR,0.0,0.0,PUNE,,S.NO 1 PLOT NO 51 VORTH  LAND BUILDING  GROUND  FLOOR SHOP NO 12  INDRALAXMI BHOSARI PUNE,,
D02677,KUNAL BEER SHOPEE (CHINCHWAD ),180004,Beer Shopee,SM1=CROSS SUPPLY Â· SM3=SURESH NAIR,0.0,0.0,PUNE,,"NAKSHATRA BUILDING PREMLOK PARK,SHOP NO.17, S.NO.165/2 .CHINCHWAD",,
D00114,KUNAL WINES (HADAPSAR),180001,FL II (Wine shop),SM1=SACHIN KAMBLE Â· SM2=AJAY Â· SM3=OMKAR PAWAR,0.0,25.0,  2,411 002,"SR. NO.4,5SHOP NO.1, VITTHAL NAGAR,HADAPSAR, OPP NILGANGA HOTEL,PUNE:-",,
D01981,KUNAL WINES MART ( BHOSARI ),180001,FL II (Wine shop),SM3=SURESH NAIR,0.0,0.0,PUNE,,"PLOT NO.G-103, BHOSARI M.I.D.C.TAL-HAVELI,DIST-PUNE",,
D06836,LAKSHYA WINES ( WAKAD ),180001,FL II (Wine shop),SM1=CROSS SUPPLY Â· SM3=SURESH NAIR,0.0,20.0,PUNE,,"S.NO.146/1,B,170/3,-10 & 170/12,PRISTIN PROLIFE WING NO.P.BULDING NO.3,WAKAD",,
D02089,LAVNYA BEER SHOPPE ( MULSHI ),180004,Beer Shopee,SM1=Z SHANKAR SHINDE Â· SM3=SURESH NAIR,0.0,133.0,PUNE,,"M.NO.880,SHOP NO.15 NANDANVAN COMPLEX PAUD,TAL MULSHI",,
D01531,LEO WINE AND BEER SHOPPE (WANWADI),180004,Beer Shopee,SM3=SURESH NAIR,0.0,27.0,PUNE,,"S NO. 61/2, PLOT NO. 2 SALUNKEVIHAR ROAD, WANWADI",,
D07097,LIQUOR WORLD WINE AND DINE (UNDRI),180002,FL III (Permit Room),SM1=ATISH Â· SM3=SURESH NAIR,0.0,1.0,PUNE,411060,"SHOP NO 19 20 GROUND FLOOR VERTICAL ALCINA , MOHAMMEDWADI",,
